answers,cd,code,content
" ANSWERS:50cm,25cm | 45cm,30cm | 55cm,20cm | 60cm,15cm",H07,01-49a-4a2," Bạn Dũng là một học sinh lớp 12, bố bạn là một thợ hàn. Bố bạn định làm một chiếc thùng hình trụ từ một mảnh tôn có chu vi 150cm theo cách dưới đây:|<|01-49a-4-image1|>| Bằng kiến thức đã học em giúp bố bạn chọn mảnh tôn để làm được chiếc thùng có thể tích lớn nhất, khi đó chiều dài, rộng của mảnh tôn lần lượt là:"
" ANSWERS:\(\left( {0;2} \right)\) | \(\left( {2;
+ \infty } \right)\) | \(\left( { - \infty ;
- 2} \right)\) | \(\left( { - 2;0} \right)\)",D07,01-73a-1a10,"  Cho hàm số \(y = f\left( x \right)\) có đạo hàm  \(f'\left( x \right) = {x^2} - 2x,\,\forall x \in \mathbb{R}.\) Hàm số \(y = - 2f\left( x \right)\) đồng biến trên khoảng"
 ANSWERS:\(m < 0\) | \(m > 3\) | \(m = 0\) | \(m > 0\),D07,01-44a-2a4,  Tìm tất cả các giá trị thực của m để đồ thị hàm số \(y = \frac{{{x^2} + 2}}{{\sqrt {m{x^4} + 3} }}\) có tiệm cận ngang.
 ANSWERS: \(\frac{8}{9}\)  |  \(\frac{4}{9}\)  |  \(\frac{{14}}{9}\)  |  \(\frac{{ - 14}}{9}\) ,H07,00-24a-3a30,"  Cho  \(N\left( {1;1;1} \right)\) ,   \(\left( {{d_1}} \right)\frac{{x + 1}}{1} = \frac{{y - 1}}{2} = \frac{z}{2}\) . Biết  \(M\left( {{x_M};{y_M};{z_M}} \right)\)  thuộc  \(\left( {{d_1}} \right)\)  sao cho   \(MN \bot \left( {{d_1}} \right)\) . Tìm  \({z_M}\) "
 ANSWERS: \(d':{\text{ }}3x + 2y + 18 = 0\)  |  \(d':{\text{ }}3x + 2y - 18 = 0\)  |  \(d':{\text{ }}3x - 2y - 18 = 0\)  |  \(d':{\text{ }}3x - 2y - 18 = 0\) ,H02,02-08a-5a3,  Cho đường thẳng  \(d:3x + 2y-6 = 0\) . Lập phương trình đường thẳng  \(d'\)  là ảnh của d qua phép vị tự tâm O tỷ số  \(k = -3\) 
" ANSWERS: \(1,1,2,4,7\)  |  \(2,3,5,8,11\)  |  \(1,2,3,5,8\)  |  \(1,1,2,3,5\) ",D04,01-36a-2a25,"  Cho dãy số  \(\left( {{y_n}} \right)\)  xác định bởi  \({y_1} = {y_2} = 1\)  và   \({y_{n + 2}} = {y_{n + 1}} + {y_n},\forall n \in \mathbb{N}*\) . Năm số hạng đầu tiên của dãy số đã cho là:"
 ANSWERS:\(287126000\)Ä‘á»“ng. | \(267094000\)Ä‘á»“ng. | \(248459000\)Ä‘á»“ng. | \(231125000\)Ä‘á»“ng.,D08,10-26a-2001a2,"Ông A gửi  \(200\)  triệu đồng vào ngân hàng Vietinbank. Lãi suất hàng năm không thay đổi là  \(7,5\% \) /năm và được tính theo kì hạn là một năm. Nếu ông A hàng năm không rút lãi thì sau \(5\) năm số tiền ông A nhận được cả vốn và tiền lãi gần với giá trị nào sau đây nhất? "
 ANSWERS: \({\log _a}\left( {bc} \right) = {\log _a}b + {\log _a}c\)  |  \({\log _a}\left( {\frac{b}{c}} \right) = {\log _a}b - {\log _a}c\)  |  \({a^{{{\log }_b}c}} = {c^{{{\log }_b}a}}\)  |  \({a^{{{\log }_a}b}} = a\) ,D08,00-41a-1a2,"  Cho \(0 < a \ne 1,b > 0,c > 0.\) Hỏi khẳng định nào dưới đây là sai?"
 ANSWERS: \(2{a^3}\sqrt {11} \)  |  \(2{a^3}\sqrt {30} \)  |  \(4{a^3}\sqrt {11} \)  |  \(4{a^3}\sqrt {30} \) ,H05,00-26b-2a7,"  Cho hình chóp S.ABCD có đáy là hình chữ nhật cạnh \(AB = 2a;BC = 3a\),tam giác SAB cân tại S và mặt phẳng (SAB) vuông góc với mặt phẳng đáy. Góc giữa SC và mặt phẳng (ABCD) bằng \({60^0}\). Tính thể tích khối chóp S.ABCD"
 ANSWERS:-1 | 0 |  \( + \infty \)   |  \( - \infty \)   | Đáp án khác...,D05,D05-02b-1b, Tính giới hạn : \(\lim \frac{{\sqrt {{n^2} + 3} - \sqrt {2n + 1} }}{{2 - n}}\)  
 ANSWERS: \(\frac{{{S_{tp}}}}{{{S_{xq}}}} = 2 + \sqrt 2 \)   |  \(\frac{{{S_{tp}}}}{{{S_{xq}}}} = 2 - \sqrt 2 \)   |  \(\frac{{{S_{tp}}}}{{{S_{xq}}}} = \frac{{2 + \sqrt 2 }}{2}\)   |  \(\frac{{{S_{tp}}}}{{{S_{xq}}}} = \frac{{5 - \sqrt 2 }}{2}\)   | Đáp án khác...,H06,H06-06a-58a,"Gọi \({S_1},{S_2}\)  là diện tích xung quanh và diện tích toàn phần của trụ tròn xoay được sinh ra bởi đoạn thẳng AC của hình lâp phương ABCD.A’B’C’D’ có cạnh 2a khi quay xung quanh A’C’. Tính \(\frac{{{S_2}}}{{{S_1}}}\)  ?"
 ANSWERS: \(\frac{1}{3}\)   |  \(\frac{1}{4}\)   |  \(\frac{1}{2}\)   |  \(\frac{{\sqrt 2 }}{3}\)  ,D05,00-07b-1a8, Tính \(\lim \frac{{n\sqrt {2 + 4 + ... + \left( {2n} \right)} }}{{3{n^2} + n - 2}}\)  
 ANSWERS:1 | 2 | 3 | 4,H03,01-21a-3a12,"  Cho hai mặt phẳng song song \(\left( \alpha \right)\) và \(\left( \beta \right)\), đường thẳng  \(a\parallel \left( \alpha \right)\). Có mấy vị trí tương đối của \(a\) và \(\left( \beta \right).\)"
 ANSWERS: \(a\sqrt 2 \)  |  \(2a\sqrt 2 \)  |  \(2a\)  |  \(\frac{{3a\sqrt 2 }}{2}\) ,H03,01-28a-3a7,"  Cho hình chóp  \(S.ABCD\) có đáy  \(ABCD\) là hình vuông cạnh a. Gọi K là trung điểm SB, L là điểm thuộc SD sao cho  \(\frac{{LS}}{{LD}} = \frac{1}{2}\) . I là giao điểm của KL và mặt phẳng \(\left( {ABCD} \right)\) . Tính độ dài BI theo a."
 ANSWERS: Tứ diện đều |  Bát diện đều |  Hình lập phương |  Lăng trụ lục giác đều,H06,00-31a-2a19, Hình lăng trụ nào dưới đây không có tâm đối xứng?
 ANSWERS: \(\frac{1}{8}\)  |  \(\frac{1}{{16}}\)  |  \(\frac{1}{2}\)  |  \(\frac{1}{4}\) ,H06,01-45a-1a1,"  Cho hình chóp S.ABCD, lấy M,N,P,Q lần lượt là trung điểm các cạnh SA,SB,SC,SD. Tính   \(\frac{{{V_{S.MNPQ}}}}{{{V_{S.ABCD}}}} = ?\) "
 ANSWERS:\(a + b = - 1.\) | \(a + b = 0.\) | \(a + b = 1.\) | \(a + b = 2.\),D10,01-69a-5a7, Xét các số phức \(z = a + bi{\text{ }}\left( {a;b \in \mathbb{R}} \right)\) thỏa mãn  \(\left| {z - 5 - 3i} \right| = \left| {z - 1 + 5i} \right|.\) Tính \(a + b\) khi biểu thức  \(P = \left| {z - 2 - 2i} \right| + \left| {z + 3 - 7i} \right|\) đạt giá trị nhỏ nhất.
 ANSWERS:163000 | 16800 | 163800 | 18600,D02,01-67a-2a7,1 lớp có 15 nam và 10 nữ. Hỏi có bao nhiêu cách lấy ra 1 nhóm gồm 7 em trong đó có 3 em nữ để tham gia đội múa và 4 em nam để tham gia đội hát
 ANSWERS:\(A\left( {0;5} \right)\) | \(B\left( {1;3} \right)\) | \(C\left( { - 1;1} \right)\) | \(D\left( {0;0} \right)\),D07,01-64a-1a9,  Điểm nào sau đây thuộc đồ thị hàm số \(y = {x^3} + 3x + 5\) mà hoành độ là nghiệm của phương trình \(y'' = 0\) ?
 ANSWERS:2 |  \(2\pi \)  |  \(\pi \)  | 1,D01,01-05a-1a22,  Hàm số  \(y = \tan x\) biến thiên tuần hoàn với chu kì là bao nhiêu?
 ANSWERS:\(m = - 1\) hoặc \(m = - 6.\) | \(m = 1\) hoặc \(m = 6.\) | \(m = 1.\) | \(m = 6.\),D04,02-26a-5a4,  Tìm tất cả các giá trị của tham số \(m\) để phương trình sau có ba nghiệm phân biệt lập thành một cấp số cộng:  \({x^3} - 6{x^2} + \left( {m + 5} \right)x - m = 0.\)
 ANSWERS:\(V = \pi \left( {\sqrt 3 - \frac{\pi }{3}} \right)\) | \(V = \sqrt 3 - \frac{\pi }{3}\) | \(V = \sqrt 3 + \frac{\pi }{3}\) | \(V = \pi \sqrt 3 - \frac{\pi }{3}\),D09,00-41a-1a34,"  Tính thể tích \(V\) của khối tròn xoay thu được khi quay quanh trục \(Ox\) hình phẳng giới hạn bởi các đường  \(y = \tan x,x = 0,x = \frac{\pi }{3}\) và trục hoành."
 ANSWERS: \(z = 2 - 3i\)   |  \( - z = - 2 + 3i\)  vÃ  \(\overline z = 2 + 3i\)   |  \({z^{ - 1}} = \frac{1}{{2 + 3i}} = \frac{2}{{13}} + \frac{3}{{13}}i\)   |  \(\left| z \right| = \sqrt {{2^2} + {3^2}} = \sqrt {13} \)   | Đáp án khác...,D10,D10-01a-17b," Cho biểu thức  \({\left( {1 + i} \right)^2}\left( {2 - i} \right)z = 8 + i + \left( {1 + 2i} \right)z\)  , tìm khẳng định sai :"
 ANSWERS:1 mặt phẳng | 2 mặt phẳng | 3 mặt phẳng | Vô số mặt phẳng | Đáp án khác...,H07,H07-04a-16b,"Cho mặt phẳ ng (Q) x + y = 9 , điể m A(0 ;2 ; -1) và B(2 ; 3 ; -4 ). Mặt phẳng (P) chứa A,B và vuông góc với mặt phẳng (Q). Hỏi lập được bao nhiêu mặt phẳng (P)"
" ANSWERS: \(\left\{ \begin{gathered} x = 4 + 2t \hfill \\ y = 1 - 3t \hfill \\ z = 2 - t \hfill \\ 
\end{gathered} \right.\)   |  \(\left\{ \begin{gathered} x = 4 - 2t \hfill \\ y = 1 - 3t \hfill \\ z = 2 - t \hfill \\ 
\end{gathered} \right.\)   |  \(\left\{ \begin{gathered} x = 4 + t \hfill \\ y = 1 - 3t \hfill \\ z = 2 - t \hfill \\ 
\end{gathered} \right.\)   |  \(\left\{ \begin{gathered} x = 4 - t \hfill \\ y = 1 - 3t \hfill \\ z = 2 - t \hfill \\ 
\end{gathered} \right.\)  ",H07,H07-05a-0a14, Cho 4 điểm  \(A\left( {0;0;2} \right);B\left( {3;0;5} \right);C\left( {1;1;0} \right);D\left( {4;1;2} \right)\)  . Lập phương trình đường cao hạ từ D xuống mặt phẳng (ABC)
 ANSWERS:170 | 171 | 190 | 191,D02,02-15a-2a10,"  Có 20 điểm trong đó có 7 điểm nằm trên đường thẳng d và không có 3 điểm nào không cùng thuộc d mà thẳng hàng. Nối chúng lại, hỏi có bao nhiêu đường thẳng"
 ANSWERS: \(\frac{{2{a^3}}}{3}\)  |  \(\frac{{3{a^3}}}{2}\)  |  \(2{a^3}\)  |  \(\frac{{{a^3}}}{3}\) ,H06,01-43a-1a16,"  Cho hình chóp S.ABC có \(SA \bot \left( {ABC} \right)\)và đáy\(ABC\) là tam giác vuông tại B. Biết \(SA = 2a,BC = 2a\) và khoảng cách từ SA đến BC bằng a. Tính \({V_{S.ABC}}\)?"
 ANSWERS:2 | 5 | 7 |  Đáp án khác,D07,00-01z-1a11, Tổng các giá trị của tham số \(m\)  sao cho đường thẳng \(y = x\)  cắt đồ thị hàm số \(y = \frac{{x - 5}}{{x + m}}\)  tại hai điểm A và B sao cho \(AB = 4\sqrt 2 \)  là
" ANSWERS: \({U_{20}} = 9\)  vÃ   \({S_{50}} = 587,5\)  |  \({U_{20}} = 9\)  vÃ   \({S_{50}} = 586,5\)  |  \({U_{20}} = 8\)  vÃ   \({S_{50}} = 586,5\)  |  \({U_{20}} = 8\)  vÃ   \({S_{50}} = 587,5\) ",D04,01-20a-3a12,  Cho cấp số cộng có số hạng tổng quát  \({U_n} = - 1 + \frac{n}{2}\)  . Tìm số hạng thứ 20 và tổng 50 số hạng đầu tiên của dãy.
" ANSWERS: \(\overrightarrow c = \left( {2;
- 2;6} \right)\)  |  \(\overrightarrow c = \left( {1;
- 2;6} \right)\)  |  \(\overrightarrow c = \left( {2;2;
- 6} \right)\)  |  \(\overrightarrow c = \left( { - 2;
- 2;6} \right)\) ",H07,00-21a-1a8,"  Cho  \(\overrightarrow a \left( {3;1;7} \right);\,\,\overrightarrow b \left( {1;3;1} \right)\) . Xác định  \(\overrightarrow c = \overrightarrow a - \overrightarrow b \) "
 ANSWERS: \(\frac{{56\pi }}{{15}}\)   |  \(\frac{{86\pi }}{{15}}\)   |  \(\frac{{16\pi }}{{15}}\)   |  \(\frac{{46\pi }}{{15}}\)  ,D09,D09-02b-0a15, Tính thể tích hình phẳng xoay quanh trục Ox giới hạn bởi y = \(2 - {x^2}\)  và y = 1
" ANSWERS:Tâm \(I\left( {1, - 1,0} \right)\)  và bán kính \(R = 1\)   | Tâm \(I\left( {0,1,0} \right)\)  và bán kính \(R = 1\)   | Tâm \(I\left( {0, - 1,0} \right)\)  và bán kính \(R = 1\)   | Tâm \(I\left( {1,0,1} \right)\)  và bán kính \(R = 1\)   | Đáp án khác...",H07,H07-05a-1e,Tìm tâm và bán kinh của mặt cầu (S) \({x^2} + {\left( {y + 1} \right)^2} + {z^2} = 1\)  
 ANSWERS:145 | 171 | 489 | 350,D02,02-20a-2a5, Có bao nhiêu số tự nhiên bé hơn 200 lập từ các số từ 1 đến 9
 ANSWERS: \(\frac{{ - 1}}{{x\sqrt x }}\)  |  \(\frac{1}{{x\sqrt x }}\)  |  \(\frac{{ - 1}}{{2x\sqrt x }}\)  |  \(\frac{1}{{2x\sqrt x }}\) ,D06,00-23b-1a1,  Đạo hàm của hàm số \(y = \frac{1}{{\sqrt x }}\) 
" ANSWERS: \(BC \bot BD\)   |  \(A,B,C,D\)  đồng phẳng |  \(A,B,C\)  thẳng hàng |  \(AB \bot AC\)  ",H07,H07-02a-15c," Trong không gian Oxyz cho 4 điểm A(0;1;1), B(-1;0;2), C(-1;1;0) và D(2;1;-2). Chọn khẳng định đúng ?"
 ANSWERS:Điểm Avà Bcùngnằm trong mặt cầu (S) | Điểm Avà B cùng nằm ngoài mặt cầu (S) | Điểm A nằm ngoài mặt cầu (S)và B nằm trong mặt cầu (S) | Điểm A nằmtrongmặt cầu (S)và B nằm ngoài mặt cầu (S) | Đáp án khác...,H07,H07-05a-19a,"Cho điểm A(1 ;2 ;3), B(2 ;1 ;-3) và mặt cầu (S) \({\left( {x - 2} \right)^2} + {\left( {y - 1} \right)^2} + {\left( {z - 1} \right)^2} = 3\)  . Chọn khẳng định ĐÚNG:"
 ANSWERS:1 | 3 | 2 | 4,D07,00-39a-1a21,  Đồ thị hàm số  \(y = \frac{{x + 1}}{{\sqrt {{x^2} - 1} }}\)  có tất cả bao nhiêu triệm cận đứng và tiệm cận ngang?
 ANSWERS:1 | 2 | 3 | 4,D07,00-26b-1a13,  Một hàm số f(x) có đạo hàm là   \(f'\left( x \right) = x{\left( {x - 1} \right)^2}{\left( {x - 2} \right)^3}{\left( {x - 3} \right)^4}\) . Số cực trị của hàm số là:
" ANSWERS: \(M = - 1,m = 1.\)  |  \(M = - 1,m = \frac{1}{7}.\)  |  \(M = - \frac{1}{7},m = \frac{1}{7}.\)  |  \(M = - 2,m = \frac{1}{7}.\) ",D01,01-15a-1a2,  Gọi M;m lần lượt là giá trị lớn nhất và giá trị nhỏ nhất của hàm số   \(y = \frac{{\sin x + \cos x - 1}}{{\sin x - \cos x + 3}}\)  là:
 ANSWERS:0 | -1 |  \(a \in \mathbb{R}\)   |  Không tồn tại a,D05,D05-07a-0c," Cho hàm số \(f(x) = \left\{ \begin{gathered} \frac{{x\left| {x + 1} \right|}}{{{x^3} + 1}}\,\,\,\,\,\,\,x \ne - 1 \hfill \\ a\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,\,x = - 1 \hfill \\ \end{gathered} \right.\)  Tìm a để hàm số liên tục tại \({x_0} = - 1\)  "
 ANSWERS:360 | 328 | 344 |  Đáp án khác,D04,01-28a-2a15,  Cho cấp số nhân có số hạng tổng quát là  \({U_n} = \left( { - 4} \right){\left( { - 2} \right)^n}\)  .Tính  \({S_7} + {U_2}\) 
 ANSWERS: \(a\sqrt 3 \)  |  \(\frac{{3a\sqrt {10} }}{{10}}\)  |  \(\frac{{2a\sqrt 5 }}{5}\)  |  \(\frac{a}{{\sqrt 2 }}\) ,H04,00-15b-3a8,"  Cho hình chóp  \(S.ABCD\) . Đáy ABCD là hình thang vuông ở A,B sao cho  \(AB = BC = \frac{{AD}}{2} = a\) . Gọi H là hình chiếu của S xuống mặt phẳng (ABCD) , H là trung điểm AC.  \(SD = a\sqrt 5 \) . Tính khoảng cách từ B đến mp (SAC) theo a."
 ANSWERS: \(\frac{{{a^3}\left( {15 + 7\sqrt 5 } \right)}}{{108}}\)  |  \(\frac{{{a^3}\left( {15 + 7\sqrt 5 } \right)}}{{54}}\)  |  \(\frac{{{a^3}\left( {7 + 15\sqrt 5 } \right)}}{{27}}\)  |  \(\frac{{{a^3}\left( {5 + 7\sqrt 5 } \right)}}{{36}}\) ,H06,01-47a-2a1,  Cho khối đa diện 12 mặt đều có cạnh đáy bằng  \(\frac{a}{3}\) . Tính thể tích khối đa diện.
" ANSWERS: Phương trình y’ = 0 có 2 nghiệm phân biệt  |  Hàm số nghịch biến trên  \(\left( {\frac{1}{2};\frac{{17 + \sqrt {129} }}{{40}}} \right)\)  |  Hàm số đồng biến trên  \(\left( {\frac{1}{2};
+ \infty } \right)\)  |  Hàm số nghịch biến trên 
 \(\left( {\frac{{17 - \sqrt {129} }}{{40}};\frac{{17 + \sqrt {129} }}{{40}}} \right)\) ",D07,00-27b-1a5,  Cho hàm số  \(y = (4{x^2} - 3x - 1)\sqrt {2x - 1} \)  Trong các khẳng định sau khẳng định nào ĐÚNG? 
 ANSWERS: \(BC \bot \left( {SAB} \right)\)  |  \(AC \bot \left( {KBH} \right)\)  |  \(HK \bot \left( {SBC} \right)\)  |  \(SC \bot \left( {BHK} \right)\) ,H03,00-27b-2a15,"  Cho hình chóp S.ABC. SA ⊥ đáy.Kẻ BH vuông góc với AC, kẻ BK vuông góc với SC. Tìm khẳng định ĐÚNG trong các khẳng định sau:"
 ANSWERS: \({S_{MNEF}} = x\left( {2a + x} \right)\)  |  \({S_{MNEF}} = 2x\left( {2a - x} \right)\)  |  \({S_{MNEF}} = x\left( {2a - x} \right)\)  |  \({S_{MNEF}} = 2x\left( {2a + x} \right)\) ,H03,02-19a-6a1,"  Cho hình chóp \(S.ABCD\) . Đáy là hình chữ nhật.  \(DC = 2a,AD = a,SD = a\sqrt 5 \) .SA vuông góc với AB và AD, M thuộc AD, \(DM = x\) . Mặt phẳng  \(\left( P \right)\)  đi qua M và song song với  \(\left( {SAB} \right)\)  Dựng  \(\left( P \right)\) ,tìm thiết diện của hình chóp cắt bởi  \(\left( P \right)\) . Tính diện tích thiết diện."
" ANSWERS:\(M\left( {2;
- \frac{5}{3}} \right)\) | \(M\left( {2;\frac{5}{3}} \right)\) | \(M\left( {\frac{5}{3};2} \right)\) | \(M\left( { - \frac{5}{3};2} \right)\)",D07,00-37a-2a9,  Cho hàm số \(y = \frac{1}{3}{x^3} - 2{x^2} + 3x + 1\) có đồ thị là (C).Tìm điểm  \(M\)  trên (C) mà tiếp tuyến của (C) tại  \(M\) có hệ số góc nhỏ nhất
 ANSWERS: \(m > 0\)  |  \(m = - 1\)  |  \(m \geqslant 0\)  |  Không tồn tại m,D06,00-17b-2a12,"  Cho hàm số  \(y = \frac{m}{3}{x^3} + 2m{x^2} + 4\left( {m + 2} \right)x - 3\) . Tìm m để   \(y' > 0\,\,\forall x \in \mathbb{R}\) "
 ANSWERS:5 | 3 | 4 | 2,D01,01-25a-3a1, Tìm số khẳng định đúng?  \(\left( I \right)\operatorname{s} {\text{inx}} = \cos \left( {\pi - x} \right)\)   \(\left( {II} \right)\cos 2x = \sin \left( {\frac{\pi }{2} - 2x} \right)\)   \(\left( {III} \right) - \cos x = \cos x\)   \(\left( {IV} \right) - \operatorname{s} {\text{inx}} = \sin \left( { - x} \right)\)   \(\left( V \right)\cos x = \cos \left( {\pi - x} \right)\) 
 ANSWERS: \(x - 2y - 5z + 5 = 0\)  |  \(x - 2y - 5z = 0\)  |  \(x - 2y - 5z - 5 = 0\)  |  \(2x - y + 5z - 5 = 0\) ,H08,01-56a-4a6," Trong không gian với hệ tọa độ \(Oxyz,\) cho ba điểm   \(A\left( {2;1; - 1} \right),\,\,B\left( { - 1;0;4} \right),\,\,C\left( {0; - 2; - 1} \right)\) . Phương trình nào sau đây là phương trình của mặt phẳng đi qua  \(A\)  và vuông góc với  \(BC\) ?"
" ANSWERS: \(2,87\)  triệu đồng. |  \(3,03\)  triệu đồng. |  \(2,35\)  triệu đồng. |  \(2,63\)  triệu đồng.",D08,01-59a-1a43," Ông A vay ngân hàng  \(100\)  triệu đồng với lãi suất 2%/tháng. Ông ta muốn hoàn nợ cho ngân hàng theo cách: Sau đúng một tháng kể từ ngày vay, ông bắt đầu hoàn nợ; hai lần hoàn nợ liên tiếp cách nhau đúng một tháng, số tiền hoàn nợ ở mỗi tháng là như nhau và ông A trả hết nợ sau đúng 5 năm kể từ ngày vay. Biết rằng mỗi tháng ngân hàng chỉ tính lãi trên số dư nợ thực tế của tháng đó. Hỏi số tiền mỗi tháng ôn ta cần trả cho ngân hàng gần nhất với số tiền nào dưới đây?"
" ANSWERS: \(49m/s\)  |  \(39m/s\)  |  \(39,3m/s\)  |  \(78,6m/s\) ",D06,00-20b-1a15,"  Một vật rơi tự do với phương trình chuyển động  \(S = \frac{1}{2}g{t^2}\) , trong đó  \(g = 9,8m/{s^2}\) và t tính bằng giây(s) . Vận tốc của vật tại thời điểm t=4s bằng: "
 ANSWERS:\(m = 0\) | \(\left[ \begin{gathered} m = 0 \hfill \\m = 3 \hfill \\\end{gathered} \right.\) | \(m = - 3\) | \(\left[ \begin{gathered} m = 0 \hfill \\m = - 3 \hfill \\\end{gathered} \right.\),D07,00-04a-1a24," Gọi  \({x_{CD}},{x_{CT}}\)  là hai điểm cực trị hàm số  \(y = {x^3} - 3m{x^2} + 3\left( {{m^2} - 1} \right)x - {m^3} + m\). Giá trị của m để \(x_{CD}^2 = {x_{CT}}\) là:"
 ANSWERS: \(a + 2b - 1 = 0\)   |  \(a - 2b + 1 = 0\)   |  \( - a - 2b - 1 = 0\)   |  \(a - 2b - 1 = 0\)   | Đáp án khác...,D05,D05-03b-4j," Cho  \(\mathop {\lim }\limits_{x \to - \infty } \left( {\frac{{a.\left| x \right| + \sqrt {{x^2} + bx} }}{{bx + 10}}} \right) = - 2\)  . Tìm điều kiện a,b"
 ANSWERS:576 | 720 | 14400 | 2880,D02,01-13a-2a5, Có 5 học sinh nam và 4 học sinh nữ.hỏi có bao nhiêu cách xếp 9 học sinh thành 1 hàng ngang sao cho các bạn nam và nữ đứng xen kẽ nhau
 ANSWERS: \(m \in \left( {\frac{{ - 1}}{2};\frac{{\sqrt 3 }}{2}} \right]\)  |  \(m \in \left( {\frac{{ - 1}}{2};1} \right]\)  |  \(m \in \left[ { - 1;\frac{1}{2}} \right)\)  |  \(m \in \left( {\frac{{ - 1}}{2};\frac{1}{2}} \right]\) ,D01,01-07a-1a21,  Tìm m để phương trình   \(\operatorname{s} {\text{inx}} + m = 0\)  có nghiệm  \(x \in \left( {\frac{{ - \pi }}{6};\frac{{5\pi }}{6}} \right]\) ?
 ANSWERS:6 | 7 | 8 | 9,H01,H01-08-2003a23,  Hình chóp tứ giác có bao nhiêu cạnh ?
 ANSWERS:\(\pi \) | \(2\pi \) | \(3\pi \) | \(4\pi \),H07,10-24b-2001a29, Khối trụ có chiều cao bằng bán kính đáy và diện tích xung quanh bằng \(2\pi \). Thể tích khối trụ là.
 ANSWERS:3 548 160 | 3 588 480 | 3 265 920  | 2 903 040,D02,01-36a-2a4,1 lớp 10 bạn học sinh. hỏi có bao nhiều cách xếp 10 bạn vào 10 ghế đặt thành 1 hàng ngang sao cho bạn Linh và bạn Trang không ngồi cạnh nhau ?
" ANSWERS: \(\left( { - \infty ;2} \right)\)  |  \(\left( {0;
+ \infty } \right)\)  |  \(\left( { - 2;0} \right)\)  |  \(\left( {0;4} \right)\) ",D07,01-51a-1a1,  Hàm số  \(y = {x^3} + 3{x^2}\)  nghịch biến trên khoảng nào?
 ANSWERS:(1;1) | (-1;-2) | 1 | -1,D07,00-23b-1a18,  Đồ thị hàm số \(y = - {x^3} + 3x\)  đạt cực đại tại điểm có hoành độ là:
" ANSWERS: \(\overrightarrow b \left( {1;\frac{1}{2};\frac{3}{2}} \right)\)   |  \(\overrightarrow b \left( {1;1;\frac{3}{2}} \right)\)   |  \(\overrightarrow b \left( { - 4;
- 2;
- 6} \right)\)   |  \(\overrightarrow b \left( {\frac{{ - 1}}{2};\frac{{ - 1}}{4};
- \frac{3}{4}} \right)\)   | Đáp án khác...",H07,H07-01a-18b," Cho vecto \(\overrightarrow a \left( {2;1;3} \right)\)  , \(\overrightarrow a \)  không cùng phương với vecto nào sau đây:"
 ANSWERS: \(\mathop {\lim }\limits_{x \to 0} \frac{{\sin 3x}}{{2x}} = \frac{3}{2}\)   |  \(\mathop {\lim }\limits_{x \to 0} \frac{{\tan x}}{x} = 1\)   |  \(\mathop {\lim }\limits_{x \to 1} \frac{{\sqrt {2x + 7} - 3}}{{x - 1}} = \frac{{ - 1}}{3}\)   |  \(\mathop {\lim }\limits_{x \to + \infty } \frac{{\left( {4 + \frac{1}{x} + \frac{1}{{{x^3}}}} \right)\left( {1 - \frac{1}{x}} \right)}}{{\left( {\frac{1}{x} - 1} \right)\left( {3 + \frac{1}{x}} \right)}} = - \frac{4}{3}\)  ,D05,00-07b-1a1, Chọn khẳng định sai trong khẳng định sau:
 ANSWERS: \(200m \times 200m\)  |  \(300m \times 100m\)  |  \(250m \times 150m\)  |  Đáp án khác,D07,01-67a-1a7,"  Một lão nông chia đất cho con trai để người con canh tác riêng, biết người con sẽ được chọn miếng đất hình chữ nhật có chu vi bằng 800(m). Hỏi anh ta chọn mỗi kích thước của nó bằng bao nhiêu để diện tích canh tác lớn nhất?"
 ANSWERS:12 | 5 | 6 | 3,D09,00-24a-5a9,  Giả sử  \(\int\limits_0^1 {f\left( x \right){\text{d}}x} = 3\)  và   \(\int\limits_0^5 {f\left( z \right){\text{d}}z = 9} \) . Tổng   \(\int\limits_1^3 {f\left( t \right){\text{d}}t} + \int\limits_3^5 {f\left( t \right)} {\text{d}}t\)  bằng
 ANSWERS:3 đỉnh | 4 đỉnh | 5 đỉnh | 6 đỉnh,H01,01-13a-3a2,  Cho lăng trụ  \(ABC.A'B'C'\) . Một mặt phẳng   \(\left( \alpha \right)\) tùy ý cắt lăng trụ với với thiết diện có tối đa bao nhiêu đỉnh?
 ANSWERS: \({148^o}11'\)   |  \({135^o}35'\)   |  \({144^o}24'\)   |  \({131^o}48'\)  ,H03,H03-02c-7b," Cho hình chóp S.ABCD. Đáy là hình thoi.SA ⊥ đáy.AC cắt BD tại O,OE vuông góc với SC. Biết SA = AB = a.  \(\widehat {ABC} = {60^o}\)  . Tính \(\widehat {DEB}\)  "
 ANSWERS:\(T = 6.\) | \(T = 3.\) | \(T = - 2.\) | \(T = - 6.\),D01,02-12a-1a11,  Gọi \(S\) là tập hợp tất cả các giá trị nguyên của tham số \(m\) để phương trình  \(\cos \left( {2x - \frac{\pi }{3}} \right) - m = 2\) có nghiệm. Tính tổng \(T\) của các phần tử trong \(S.\)
 ANSWERS:1 nghiệm | 2 nghiệm | 3 nghiệm |  Vô nghiệm,D10,D10-04a-0a2, Phương trình \({z^3} - 2\left( {1 + i} \right){z^2} + 3iz + 1 - i = 0\)  có bao nhiêu nghiệm \(z \in \mathbb{C}\)  
