cd,text_encoded,answers_encoded
D01,"de tim tap xac dinh cua ham so y = tan x + cos x , mot hoc sinh da giai theo cac buoc sau: buoc 0: dieu kien de ham so co nghia la left begin gathered sin x ne 0 hfill cos x ne 0 hfill end gathered right. . buoc 0: leftrightarrow left begin gathered x ne frac pi 0 + k pi hfill x ne k pi hfill end gathered right.; left k in mathbb z right . buoc 0: vay tap xac dinh cua ham so da cho la d = mathbb r backslash left frac pi 0 + k pi ;k pi |k in mathbb z right . bai giai cua ban do dung chua? neu sai, thi sai bat dau o buoc nao? answers: bai giai dung. | sai ta>><< baedega>>>c 0. | sai ta>><< baedega>>>c 0. | sai ta>><< baedega>>>c 0.",answers: bai giai dung. | sai ta>><< baedega>>>c 0. | sai ta>><< baedega>>>c 0. | sai ta>><< baedega>>>c 0.
D07,ha m sa>>' y = sqrt x + 0 + sqrt 0 + x answers: nghich bien tren left 0;0 right | nghich bien tren left 0;0 right | la ham dong bien | la ham nghich bien,answers: nghich bien tren left 0;0 right | nghich bien tren left 0;0 right | la ham dong bien | la ham nghich bien
H05,"cho hinh chop s.abcd co day la hinh vuong canh a . sh bot left abcd right , h in ac sao cho ac = 0ah va goc giua sd va mat phang sac bang 0^0 . tinh the tich khoi chop s.abcd answers: frac a^0 0 sqrt 0 | frac a^0 0 sqrt 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0",answers: frac a^0 0 sqrt 0 | frac a^0 0 sqrt 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0
D08,cho phuong trinh 0^ x^0 + 0 0^ x^0 = 0^ frac x 0 + 0 . tich cac gia tri cua x la answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D01,"tim min, max cua f left x right = cos x + sqrt 0 operatorname s text inx + 0 ? answers: min = 0, max = 0 | min = 0, max = 0 | min = 0, max = 0 | min = 0, max = 0","answers: min = 0, max = 0 | min = 0, max = 0 | min = 0, max = 0 | min = 0, max = 0"
H02,"trong mat phang toa do oxy , cho duong tron left c right co phuong trinh x^0 + y^0 + 0x + 0y + 0 = 0 . tim anh cua left c right qua phep tinh tien theo vecto overrightarrow v = left 0; + 0 right answers: duong tron left c' right co phuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong tron left c' right cophuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong thang left c' right co phuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong thang left c' right cophuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 .","answers: duong tron left c' right co phuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong tron left c' right cophuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong thang left c' right co phuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 . | duong thang left c' right cophuong trinh 
 left x + 0 right ^0 + left y + 0 right ^0 = 0 ."
H06,"cho lang tru abc.a'b'c'. tren cac canh ben lan luot lay cac diem m,n,p sao cho frac am a'm = a, frac bn b'n = b, frac cp c'p = c . tinh frac v_ abc.mnp v_ abc.a'b'c' =? answers: frac 0 0 left a + b + c right | abc | frac abc 0 | frac 0 0 left frac a 0 + a + frac b 0 + b + frac c 0 + c right",answers: frac 0 0 left a + b + c right | abc | frac abc 0 | frac 0 0 left frac a 0 + a + frac b 0 + b + frac c 0 + c right
D01,"tap xac dinh cua ham so y = frac 0 + 0 cos x sin 0x + sin 0x la answers: mathbb r backslash left k0 pi ; frac pi 0 + frac k0 pi 0 ,k in mathbb z right | mathbb r backslash left frac pi 0 + frac k pi 0 , ,k in mathbb z right | mathbb r backslash left k pi , ,k in mathbb z right | mathbb r backslash left k pi ; frac pi 0 + frac k pi 0 ,k in mathbb z right","answers: mathbb r backslash left k0 pi ; frac pi 0 + frac k0 pi 0 ,k in mathbb z right | mathbb r backslash left frac pi 0 + frac k pi 0 , ,k in mathbb z right | mathbb r backslash left k pi , ,k in mathbb z right | mathbb r backslash left k pi ; frac pi 0 + frac k pi 0 ,k in mathbb z right"
D09,cho i_0 = int limits_0^ sqrt 0 f t dt = 0 tinh i_0 = int limits_ frac prod 0 ^ frac prod 0 f t text anx frac dx cos ^0 x answers:0 | +0 | sqrt 0 | + sqrt 0,answers:0 | +0 | sqrt 0 | + sqrt 0
D10,"tim tap hop diem bieu dien so phuc z biet left| 0z + 0 right| = 0 answers: duong tron co phuong trinh x^0 + y^0 = frac 0 0 | parabol co phuong trinh y = x^0 + frac 0 0 | duong thang co phuong trinh x + y = 0 | duong tron co phuong trinh 
 left x + frac 0 0 right ^0 + y^0 = frac 0 0","answers: duong tron co phuong trinh x^0 + y^0 = frac 0 0 | parabol co phuong trinh y = x^0 + frac 0 0 | duong thang co phuong trinh x + y = 0 | duong tron co phuong trinh 
 left x + frac 0 0 right ^0 + y^0 = frac 0 0"
H05,cho hinh chop s.abc co sa vuong goc voi day va sa = 0a . tam giac abc vuong can tai b va ab = a . tinh khoang cach tu a den mat phang sbc . answers: frac 0a sqrt 0 | frac a sqrt 0 0 | frac 0a sqrt 0 | frac a sqrt 0,answers: frac 0a sqrt 0 | frac a sqrt 0 0 | frac 0a sqrt 0 | frac a sqrt 0
D08,"cho phuong trinh 0^ x^0 + 0x + 0 = left sqrt 0 + sqrt 0 + 0 right ^ 0x . tim gia tri x thoa man answers: x = 0 | x = + 0 | left begin gathered x = 0 hfill x = + 0 hfill 
 end gathered right. | x in emptyset","answers: x = 0 | x = + 0 | left begin gathered x = 0 hfill x = + 0 hfill 
 end gathered right. | x in emptyset"
H07,"cho mat pha ng q x + 0z = 0 , die m a 0 ;0 ; +0 va b 0 ; 0 ; +0 . mat phang p chua a,b va vuong goc voi mat phang q . hoi lap duoc bao nhieu mat phang p answers:0 mat phang | 0 mat phang | 0 mat phang | vo so mat phang | dap an khac...",answers:0 mat phang | 0 mat phang | 0 mat phang | vo so mat phang | dap an khac...
D06,cho y = sqrt x^0 + 0 left c right va y = sqrt x + 0 left c' right . viet pt tiep tuyen cua left c right tai giao diem cua left c right va left c' right answers: y = frac 0 sqrt 0 x + frac 0 sqrt 0 | y = frac 0 sqrt 0 x + frac 0 sqrt 0 + sqrt 0 | y = frac 0 sqrt 0 x | y = sqrt 0 x + 0 sqrt 0,answers: y = frac 0 sqrt 0 x + frac 0 sqrt 0 | y = frac 0 sqrt 0 x + frac 0 sqrt 0 + sqrt 0 | y = frac 0 sqrt 0 x | y = sqrt 0 x + 0 sqrt 0
D08,phuong trinh sau co bao nhieu nghiem? log _0 left x + 0 right ^0 + 0 = log _ sqrt 0 sqrt 0 + x + log _0 left 0 + x right ^0 answers:0 | 0 | 0 | vo nghiem,answers:0 | 0 | 0 | vo nghiem
H06,cho hinh chop s.abcd co day la hinh vuong canh a va sa vuong goc voi day. goi e la trung diem canh cd. biet khoang cach tu a den sbe bang frac 0a 0 . tinh v_ s.abcd ? answers: frac a^0 0 | frac 0 a^0 0 | a^0 | frac a^0 sqrt 0 0,answers: frac a^0 0 | frac 0 a^0 0 | a^0 | frac a^0 sqrt 0 0
D07,"cho ham so left c right , ,y = x^0 + 0x . lap phuong trinh tiep tuyen cua do thi biet tiep tuyen song song voi duong thang left d_0 right , ,0x + 0y + 0 = 0 answers: y = + frac 0 0 x + frac 0 0 va y = + frac 0 0 x + frac 0 0 | y = frac 0 0 x + frac 0 0 va y = frac 0 0 x + frac 0 0 | y = + frac 0 0 x + frac 0 0 | y = + frac 0 0 x + frac 0 0",answers: y = + frac 0 0 x + frac 0 0 va y = + frac 0 0 x + frac 0 0 | y = frac 0 0 x + frac 0 0 va y = frac 0 0 x + frac 0 0 | y = + frac 0 0 x + frac 0 0 | y = + frac 0 0 x + frac 0 0
H06,"cho hinh chop s.abcd co sa bot left abcd right ,day la hinh vuong canh a sqrt 0 . sa = a . tinh v_ s.abcd ? answers: frac a^0 0 | frac 0 a^0 0 | a^0 | frac 0 a^0 0",answers: frac a^0 0 | frac 0 a^0 0 | a^0 | frac 0 a^0 0
D07,cho ham so y = frac x + 0 0 + x co do thi left c right va diem a left m;0 right . goi s la tap cac gia tri cua m de co dung mot tiep tuyen cua left c right di qua a . tinh tong binh phuong cac phan tu cua tap s ? answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0,answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
H03,"cho hinh chop s.abcd .day la hinh chu nhat. sa = 0a,ab = 0a,bc = a . sa vuong goc voi cd. m la trung diem ad. mat phang left p right di qua m va parallel voi sa,cd. tinh dien tich thiet dien theo a answers: frac 0 a^0 0 | frac a^0 0 | frac 0a 0 | a^0",answers: frac 0 a^0 0 | frac a^0 0 | frac 0a 0 | a^0
D01,chu ki cua ham so y = 0 cos 0x la? answers: frac 0 pi 0 | frac pi 0 | frac 0 pi 0 | frac 0 pi 0,answers: frac 0 pi 0 | frac pi 0 | frac 0 pi 0 | frac 0 pi 0
H01,"cho hinh chop s.abcde co day la ngu giac abcde , khong co hai canh nao song song voi nhau. goi m,n la trung diem cua sc,sd . xac dinh thiet dien tao boi mat phang left amn right va hinh chop. answers: tam giac | tu giac | ngu giac | luc giac",answers: tam giac | tu giac | ngu giac | luc giac
D05,"mathop lim limits_ x to + infty left sqrt 0 x^0 + 0 + 0x right = + infty i va mathop lim limits_ x to + infty left frac left 0 + 0x right ^0 left 0 + x right ^0 left x + 0 right left 0x + 0 right ^0 right = frac 0 0 ii tim khang dinh dung trong cac khang dinh sau. answers: i dung, ii sai | i dung, ii dung | i sai, ii dung | i sai, ii sai | dap an khac...","answers: i dung, ii sai | i dung, ii dung | i sai, ii dung | i sai, ii sai | dap an khac..."
D09,"tinh the tich hinh phang xoay quanh truc ox gioi han boi y = lnx, y = 0, x = e. answers: pi e + 0 | pi e + 0 pi | pi e | 0 pi",answers: pi e + 0 | pi e + 0 pi | pi e | 0 pi
H03,"trong cac menh de sau, menh de nao sai? answers: hinh lang tru co cac canh ben song song va bang nhau. | hai mat day cua hinh lang tru nam tren hai mat phang song song. | hai day cua lang tru la hai da giac deu | cac mat ben cua lang tru la cac hinh binh hanh.",answers: hinh lang tru co cac canh ben song song va bang nhau. | hai mat day cua hinh lang tru nam tren hai mat phang song song. | hai day cua lang tru la hai da giac deu | cac mat ben cua lang tru la cac hinh binh hanh.
H07,"cho mot dong ho cat nhu hinh ben duoi gom 0 hinh non chung dinh ghep lai , trong do duong sinh bat ky cua hinh non tao voi day mot goc 0^0 nhu hinh ben. biet rang chieu cao cua dong ho la 0cm va tong the tich cua dong ho la 0 pi ,c m^0 . hoi neu cho day luong cat vao phan tren thi khi chay het xuong duoi, khi do ti le the tich luong cat chiem cho va the tich phan phia duoi la bao nhieu? answers: frac 0 0 sqrt 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 sqrt 0 | frac 0 0 | frac 0 0 | frac 0 0
D05,mathop lim limits_ x to + infty left frac ax + sqrt 0 x^0 + x + 0 0 + bx right =? a < 0 answers: frac 0 + a b | frac a + 0 + b | frac + a b | frac + b a | dap an khac...,answers: frac 0 + a b | frac a + 0 + b | frac + a b | frac + b a | dap an khac...
D07,co bao nhieu gia tri nguyen duong cua m de ham so y = frac x^0 0 + mx + ln left x + 0 right dong bien tren left 0; + infty right answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H06,cho hinh chop s.abc deu co duong cao bang frac a sqrt 0 0 . biet dien tich xung quanh cua hinh non co dinh s va day la duong tron noi tiep tam giac abc la frac pi a^0 sqrt 0 0 . tinh duong sinh cua hinh non. answers: a sqrt 0 | frac a sqrt 0 0 | frac a sqrt 0 0 | a sqrt 0 | dap an khac...,answers: a sqrt 0 | frac a sqrt 0 0 | frac a sqrt 0 0 | a sqrt 0 | dap an khac...
D05,"cho ham so f x = left begin gathered frac 0 + sqrt 0x + 0 0 + x , , , , ,x ne frac 0 0 hfill m , , , , , , , , , , , , ,x = frac 0 0 hfill end gathered right. .tim m de ham so lien tuc tai x = frac 0 0 ? answers: m = 0 | m = + 0 | m = + 0 | m = 0",answers: m = 0 | m = + 0 | m = + 0 | m = 0
H07,"cho 0 diem a 0;0; 0 , b 0; 0 ; 0 , c 0; +0; 0 , d 0 ; +0 ; 0 . hoi lap duoc bao nhieu mat phang p chua 0 diem a,b sao cho mat phang p cach deu 0 die m c, d? answers:0 mat phang | 0 mat phang | 0 mat phang | vo so mat phang | dap an khac...",answers:0 mat phang | 0 mat phang | 0 mat phang | vo so mat phang | dap an khac...
H03,cho hinh chop deu s.abcd. o la tam day. tim khang dinh dung trong cac khang dinh sau: answers: so bot left bdc right | ab bot left sad right | ac bot left sbc right | sa bot left abd right | dap an khac...,answers: so bot left bdc right | ab bot left sad right | ac bot left sbc right | sa bot left abd right | dap an khac...
D05,tinh mathop lim limits_ n to infty left frac 0 n^0 + 0 sin n n^0 right answers:0 | 0 | infty | 0,answers:0 | 0 | infty | 0
H04,"cho hinh chop s.abcd , sa = a. sa ? abcd . day la hinh vuong canh a.tinh goc giua sad va sbd answers: 0, 0^o | 0, 0^o | 0, 0^o | 0, 0^o","answers: 0, 0^o | 0, 0^o | 0, 0^o | 0, 0^o"
D07,tim m de ham so y = frac x^0 0 + m x^0 + 0x de ham so dong bien tren mathbb r answers: + 0 < m < 0 | + 0 leqslant m leqslant 0 | m leqslant + 0 | m geqslant 0,answers: + 0 < m < 0 | + 0 leqslant m leqslant 0 | m leqslant + 0 | m geqslant 0
H08,"cho diem m left 0;0;m right va mat phang left p right :0x + y + 0z + 0 = 0 . tim m sao cho d left m, left p right right = 0 answers: left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right.","answers: left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right. | left begin gathered m = 0 hfill m = + 0 hfill 
 end gathered right."
D07,"tim tap hop cac gia tri cua tham so m de phuong trinh sqrt 0 x^0 + 0 + sqrt x = m co nghiem. answers: left 0;
+ infty right | left 0;0 right | left + infty ;0 right | left 0;0 right","answers: left 0;
+ infty right | left 0;0 right | left + infty ;0 right | left 0;0 right"
H06,"cho hinh chop s.abcd co sa bot left abc text d right . day abcd la hinh chu nhat . khoang cach tu d den mat phang left sab right bang a . goc giua sc va mat phang left sab right bang 0^ circ , goc giua sb voi mat phang left sad right bang 0^ circ . tinh v_ s.abc text d . answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0",answers: frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0 | frac a^0 sqrt 0 0
H05,"cho hinh chop s.abcd co day abcd la hinh vuong tam o, canh a . canh ben sa vuong goc voi day, widehat sbd = 0^ circ . tinh the tich khoi chop s.abcd. answers: frac a^0 sqrt 0 0 | frac 0 a^0 0 | a^0 | frac a^0 0",answers: frac a^0 sqrt 0 0 | frac 0 a^0 0 | a^0 | frac a^0 0
D04,cho cap so nhan co so hang tong quat u_n = 0.0^n . tinh u_0 + u_0 answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H06,cho hinh chop deu s.abcd. day la hinh vuong canh 0a. biet goc giua sab va sbd bang 0^ circ . tinh v_ s.abcd ? answers: frac a^0 0 . | frac 0 a^0 0 | frac 0 a^0 0 | a^0,answers: frac a^0 0 . | frac 0 a^0 0 | frac 0 a^0 0 | a^0
D04,"cac so x + 0y, 0 text x + 0y, 0 text x + y theo thu tu do lap thanh mot cap so cong, dong thoi, cac so x + frac 0 0 , y + 0, 0 text x + 0y theo thu tu do lap thanh mot cap so nhan. hay tim x va y. answers: x = + 0,y = + 0 hoac x = frac 0 0 ,y = frac 0 0 . | x = 0,y = 0 hoac x = + frac 0 0 ,y = + frac 0 0 . | x = 0,y = 0 hoac x = + 0,y = + 0 | x = + 0,y = + 0 hoac x = 0,y = 0","answers: x = + 0,y = + 0 hoac x = frac 0 0 ,y = frac 0 0 . | x = 0,y = 0 hoac x = + frac 0 0 ,y = + frac 0 0 . | x = 0,y = 0 hoac x = + 0,y = + 0 | x = + 0,y = + 0 hoac x = 0,y = 0"
D07,ham so y = frac 0 0 x^0 + 0 x^0 + 0 dat cuc dai tai answers: x = 0 | x = pm sqrt 0 | x = + sqrt 0 | x = sqrt 0,answers: x = 0 | x = pm sqrt 0 | x = + sqrt 0 | x = sqrt 0
H02,"trong mat phang voi he toa do oxy , cho hai diem a left + 0;0 right , ,b left 0;0 right . phep tinh tien theo vecto overrightarrow v bien diem a thanh diem b . tim toa do cua overrightarrow v answers: overrightarrow v = left 0;
+ 0 right . | overrightarrow v = left + 0;0 right . | overrightarrow v = left 0;0 right . | overrightarrow v = left 0;0 right .","answers: overrightarrow v = left 0;
+ 0 right . | overrightarrow v = left + 0;0 right . | overrightarrow v = left 0;0 right . | overrightarrow v = left 0;0 right ."
H07,khoi tru co chieu cao bang ban kinh day va dien tich xung quanh bang 0 pi . the tich khoi tru la. answers: pi | 0 pi | 0 pi | 0 pi,answers: pi | 0 pi | 0 pi | 0 pi
D07,cho ham so y = f left x right co dao ham f' left x right = x^0 left x + 0 right left x + 0 right ^0 . khi do so cuc tri cua ham so y = f left x^0 right la answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
D05,"cho cac khang dinh sau: lim left sqrt n^0 + n + 0 + n right = frac 0 0 i ; lim frac 0 sqrt n + 0 + sqrt n + 0 = 0 ii phat bieu nao sau day la dung ? answers: i dung ;
 ii dung | i dung ;
 ii sai | i sai ;
 ii dung | i sai ;
 ii sai | dap an khac...","answers: i dung ;
 ii dung | i dung ;
 ii sai | i sai ;
 ii dung | i sai ;
 ii sai | dap an khac..."
H05,"cho hinh chop s.abcd co day abcd la hinh thoi canh a , widehat abc = 0^ circ . goi o la giao diem cua ac va bd thoa man so bot left abc text d right va so = frac 0a 0 . tinh goc giua mat phang scd va mat phang day. answers: 0^ circ | 0^ circ | 0^ circ | 0,0^ circ","answers: 0^ circ | 0^ circ | 0^ circ | 0,0^ circ"
H01,"cho tu dien abcd .khang dinh nao sau day la dung? answers:ab va cd cat nhau | a,b,c,d khong dong phang | a,b,c,d thang hang | ac va bd cat nhau","answers:ab va cd cat nhau | a,b,c,d khong dong phang | a,b,c,d thang hang | ac va bd cat nhau"
D07,cho ham so y = x^0 + 0x + 0 . viet phuong trinh tiep tuyen cua c tai diem co tung do bang 0 answers: y = x + 0 | y = 0 + x | y = 0 | y = 0,answers: y = x + 0 | y = 0 + x | y = 0 | y = 0
D09,nguyen ham int frac cos ^0 x sin ^0 x text d x bang. answers: 0 cot ^0 x + c | cot ^0 x + c | + frac 0 0 cot x + c | + frac 0 0 cot ^0 x + c,answers: 0 cot ^0 x + c | cot ^0 x + c | + frac 0 0 cot x + c | + frac 0 0 cot ^0 x + c
D09,mot vat di chuyen voi gia toc a left t right = + 0 left 0 + 0t right ^ + 0 left text m/ text s ^0 right . khi t = 0 thi van toc cua vat la 0m/s. tinh quang duong vat do di chuyen sau 0 giay lam tron ket qua toi chu so hang don vi . answers: s = 0m | s = 0m | s = 0m | s = 0m,answers: s = 0m | s = 0m | s = 0m | s = 0m
H05,"cho hinh chop s.abcd co day abcd la hinh chu nhat canh ab = a, , ,bc = 0a . hai mat ben left sab right va left sad right cung vuong goc voi mat phang day. cho sa = a sqrt 0 . tinh the tich cua khoi chop s.abcd. answers: frac 0 a^0 sqrt 0 0 | frac 0 a^0 sqrt 0 0 | 0 a^0 sqrt 0 | frac a^0 sqrt 0 0",answers: frac 0 a^0 sqrt 0 0 | frac 0 a^0 sqrt 0 0 | 0 a^0 sqrt 0 | frac a^0 sqrt 0 0
H06,hinh lang tru nao duoi day khong co tam doi xung? answers: tu dien deu | bat dien deu | hinh lap phuong | lang tru luc giac deu,answers: tu dien deu | bat dien deu | hinh lap phuong | lang tru luc giac deu
H07,"cho hinh chop deu s.abc co canh day bang a . goi m, n lan luot la trung diem cua sa, sc.tinh the tich khoi chop s.abc biet bm vuong goc voi an. answers: frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 ,","answers: frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 , | frac a^0 sqrt 0 0 ,"
D04,"tim cong thuc truy hoi cua day so biet u_n = 0^n + 0 answers: left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n + 0 hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = 0 u_n + 0.0^n + 0 hfill 
 end gathered right.","answers: left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n + 0 hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = u_n + 0.0^n hfill 
 end gathered right. | left begin gathered u_0 = 0 hfill u_ n + 0 = 0 u_n + 0.0^n + 0 hfill 
 end gathered right."
H06,"nguoi ta xep 0 hinh tru co cung ban kinh day r va cung chieu cao h vao mot cai lo hinh tru cung co chieu cao h , sao cho tat ca cac hinh tron day cua hinh tru nho deu tiep xuc voi day cua hinh tru lon, hinh tru nam chinh giua tiep xuc voi sau hinh tru xung quanh, moi hinh tru xung quanh deu tiep xuc voi cac duong sinh cua lo hinh tru lon. khi do the tich cua hinh tru lon la: answers: 0 pi r^0 h | 0 pi r^0 h | 0 pi r^0 h | 0 pi r^0 h",answers: 0 pi r^0 h | 0 pi r^0 h | 0 pi r^0 h | 0 pi r^0 h
D09,tinh nguyen ham cua int left cos ^0 x + cos ^0 x + 0 right . sin x.dx = ? : answers: frac cos ^0 x 0 + frac cos ^0 x 0 + cos x + c | + frac cos ^0 x 0 + frac cos ^0 x 0 + cos x + c | 0 cos ^0 x + 0 cos x + c | + 0 cos ^0 x + 0 cos x + c,answers: frac cos ^0 x 0 + frac cos ^0 x 0 + cos x + c | + frac cos ^0 x 0 + frac cos ^0 x 0 + cos x + c | 0 cos ^0 x + 0 cos x + c | + 0 cos ^0 x + 0 cos x + c
D01,tong tat ca cac nghiem x in left + 0 pi ;0 pi right cua phuong trinh operatorname s text inx + sqrt 0 cos x = 0 la bao nhieu? answers: frac + 0 pi 0 | frac 0 pi 0 | frac pi 0 | frac 0 pi 0,answers: frac + 0 pi 0 | frac 0 pi 0 | frac pi 0 | frac 0 pi 0
D05,"cho loi giai sau : buoc 0 : xet ham so f left x right = 0 x^0 + 0x + 0 buoc 0 : ham so nay la ham da thuc nen lien tuc tren r. do do no lien tuc tren cac doan left + 0;0 right va left 0;0 right buoc 0 : mat khac, ta co : f left + 0 right = 0;f left 0 right = + 0 va f left 0 right = 0 buoc 0 : do do f left + 0 right .f left 0 right < 0 va f left 0 right .f left 0 right < 0 rightarrow phuong trinh 0 x^0 + 0x + 0 = 0 co it nhat mot nghiem thuoc khoang +0 ;0 bai toan tren giai sai o buoc nao ? answers: baedega>>>c 0 | baedega>>>c 0 | baedega>>>c 0 | baedega>>>c 0",answers: baedega>>>c 0 | baedega>>>c 0 | baedega>>>c 0 | baedega>>>c 0
H03,"cho tu dien deu abcd co cac canh deu bang a.goi h la truc tam cua tam giac bcd. m,n lan luot la trung diem cua dc va bc. chon khang dinh dung trong cac khang dinh sau: answers: bm bot left acm right | ah bot left mnc right | dh bot left anc right | bc bot left adc right",answers: bm bot left acm right | ah bot left mnc right | dh bot left anc right | bc bot left adc right
D08,"cho bieu thuc: p = sqrt 0 x. sqrt 0 x^0 . sqrt x^0 ,voi x > 0 .rut gon bieu thuc p la: answers: p = x^ ^ frac 0 0 | p = x^ frac 0 0 | p = x^ frac 0 0 | p = x^ frac 0 0",answers: p = x^ ^ frac 0 0 | p = x^ frac 0 0 | p = x^ frac 0 0 | p = x^ frac 0 0
D03,he so tu do trong khai trien left 0 + x right ^0 la bao nhieu? answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H05,"cho lang tru abc.a'b'c'. goi m, n lan luot la trung diem cua ab, aa'. tinh ti so frac v_ cmna'b'b v_ abc.a'b'c' . answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
D05,cho mathop lim limits_ x to a left frac x^0 + 0 x^0 + 0x + 0 right = 0 . tim a? voi a > 0 answers: a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | dap an khac...,answers: a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | a = 0 + 0 sqrt 0 | dap an khac...
H03,cho hinh chop deu s.abc. h la tam day. e la trung diem bc. ke mathbf hk bot mathbf se . chon dap an dung answers: left sab right bot left abc right | left sac right bot left abc right | left hkc right bot left abc right | left hkc right bot left sbc right,answers: left sab right bot left abc right | left sac right bot left abc right | left hkc right bot left abc right | left hkc right bot left sbc right
D02,tinh xac suat lay mot so tu 0 den 0 bat ky ma so do la so chan? answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0,answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
H05,cho hinh chop s.abcd co sa bot abcd . day la hinh binh hanh co ab = 0bc. goc widehat abc = 0^o .khoang cach tu d den mat phang sbc bang a. goc giua ab va mat phang sbc bang 0^o . tinh the tich hinh chop s.abcd answers: v_ s.abcd = frac a^0 0 sqrt 0 | v_ s.abcd = frac a^0 sqrt 0 | v_ s.abcd = frac a^0 0 sqrt 0 | v_ s.abcd = frac a^0 0 sqrt 0,answers: v_ s.abcd = frac a^0 0 sqrt 0 | v_ s.abcd = frac a^0 sqrt 0 | v_ s.abcd = frac a^0 0 sqrt 0 | v_ s.abcd = frac a^0 0 sqrt 0
H07,"cho diem a 0;+0; 0 , b 0; 0; 0 , c 0; 0; 0 , d 0; 0; 0 . lap phuong trinh mat phang p di qua a va song song voi mat phang bcd answers: y + 0 = 0 | y + 0 = 0 | y + 0 = 0 | y + 0 = 0 | dap an khac...",answers: y + 0 = 0 | y + 0 = 0 | y + 0 = 0 | y + 0 = 0 | dap an khac...
D10,"cho 0 so phuc z_0 , z_0 thoa man left| z_0 right| = 0; , , left| z_0 right| = 0 va left| z_0 + 0 text z _0 right| = 0 . tinh gia cua left| 0 z_0 + 0 text z _0 right| ? answers: sqrt 0 | sqrt 0 | sqrt 0 | sqrt 0",answers: sqrt 0 | sqrt 0 | sqrt 0 | sqrt 0
D01,phuong trinh cos left sin x right = 0 co bao nhieu nghiem tren khoang left + 0 pi ;0 pi right ? answers:0 | 0 | 0 | 0,answers:0 | 0 | 0 | 0
H05,"cho khoi lang tru dung abcd.a'b'c'd' co day abcd la hinh binh hanh va widehat ba text d = 0^ circ . cac duong cheo ac' va db' lan luot tao voi day 0^ circ goc va 0^ circ . biet text aa ' = 0 , tinh the tich lang tru ? answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0",answers: frac 0 0 | frac 0 0 | frac 0 0 | frac 0 0
